in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
3.54E+02,5.821E+02,1.570E-02,1.519E+02,4.000E-02
3.55E+02,5.888E+02,-1.541E-01,1.509E+02,4.000E-02
3.56E+02,5.957E+02,6.863E-02,1.503E+02,4.000E-02
3.57E+02,6.026E+02,-9.138E-02,1.500E+02,4.000E-02
3.58E+02,6.095E+02,-4.968E-02,1.477E+02,4.000E-02
3.59E+02,6.166E+02,-1.133E-01,1.483E+02,4.000E-02
3.60E+02,6.237E+02,7.374E-02,1.477E+02,4.000E-02
3.61E+02,6.310E+02,-1.396E-01,1.467E+02,4.000E-02
3.62E+02,6.383E+02,1.529E-02,1.465E+02,4.000E-02
3.63E+02,6.457E+02,-5.248E-02,1.454E+02,4.000E-02
3.64E+02,6.531E+02,-9.565E-03,1.459E+02,4.000E-02
3.65E+02,6.607E+02,-4.026E-02,1.443E+02,4.000E-02
3.66E+02,6.683E+02,1.370E-02,1.446E+02,4.000E-02
3.67E+02,6.761E+02,-3.025E-02,1.432E+02,4.000E-02
3.68E+02,6.839E+02,1.213E-01,1.432E+02,4.000E-02
3.69E+02,6.918E+02,1.811E-02,1.417E+02,4.000E-02
3.70E+02,6.998E+02,6.457E-02,1.412E+02,4.000E-02
3.71E+02,7.079E+02,-1.934E-02,1.406E+02,4.000E-02
3.72E+02,7.161E+02,2.826E-02,1.405E+02,4.000E-02
3.73E+02,7.244E+02,1.205E-01,1.390E+02,4.000E-02
3.74E+02,7.328E+02,-8.925E-02,1.383E+02,4.000E-02
